participant_id;session_id;team_name;sport;question_key;code_1;code_2;;code_2 Frequency Table;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q13_Athlete;practical_system;circular_exchange_engagement;;circular_exchange_engagement;29;8;37;39;39;1;1;7;5;37;0;18;37;258;0;1;1;9;4;6;6;5;4;1;1;3;9;9;3;6;68;326
T1_A02;T1;Uppsala Sirius U15;Football;Q1_Athlete;"motivation_reward; positive_acceptance";"incentive_governance; circular_exchange_engagement";;equity_and_retention;3;4;5;2;2;0;16;1;30;1;16;27;1;108;8;9;3;0;6;2;4;1;0;1;2;0;3;2;6;2;49;157
T1_A02;T1;Uppsala Sirius U15;Football;Q2_Athlete;motivation_reward;incentive_governance;;trust_negotiation;0;0;21;0;0;2;22;39;4;1;7;1;8;105;0;0;8;0;4;3;0;2;1;0;8;3;0;3;1;1;34;139
T1_A02;T1;Uppsala Sirius U15;Football;Q3_Athlete;"cost_access_barrier; positive_acceptance";"equity_and_retention; circular_exchange_engagement";;incentive_governance;9;31;1;1;1;0;10;0;2;0;0;1;0;56;2;0;2;0;0;0;1;4;8;5;0;0;0;0;1;1;24;80
T1_A02;T1;Uppsala Sirius U15;Football;Q4_Athlete;equipment_preference;circular_exchange_engagement;;exchange_modality_preference;5;1;0;0;0;37;3;2;0;0;1;2;1;52;0;0;0;0;0;0;5;2;1;0;0;0;4;2;0;4;18;70
T1_A02;T1;Uppsala Sirius U15;Football;Q5_Athlete;equipment_preference;circular_exchange_engagement;;evaluative_stance;0;1;1;0;0;0;3;0;2;2;17;0;2;28;0;0;0;0;2;3;0;2;2;3;0;5;0;2;3;3;25;53
T1_A02;T1;Uppsala Sirius U15;Football;Q6_Athlete;face_to_face_preference;exchange_modality_preference;;TOTAL;46;45;65;42;42;40;55;49;43;41;41;49;49;607;10;10;14;9;16;14;16;16;16;10;11;11;16;18;14;17;218;825
T1_A02;T1;Uppsala Sirius U15;Football;Q7_Athlete;fairness_reciprocity;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q8_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q9_Athlete;community_support;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q11_Athlete;"cost_access_barrier; no_inclusion_retention";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q12_Athlete;inclusion_retention;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q13_Athlete;practical_system;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q1_Athlete;"motivation_reward; positive_acceptance";"incentive_governance; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q2_Athlete;motivation_reward;incentive_governance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q3_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q4_Athlete;"positive_circulation_response; equipment_preference";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q5_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q6_Athlete;app_preference;exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q7_Athlete;fairness_reciprocity;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q8_Athlete;"social_comfort_broad; positive_acceptance; trust_safety";"trust_negotiation; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q9_Athlete;fairness_reciprocity;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q11_Athlete;"cost_access_barrier; no_inclusion_retention";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q12_Athlete;"cost_access_barrier; inclusion_retention";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q13_Athlete;negative_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q2_Athlete;motivation_reward;incentive_governance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q3_Athlete;"social_comfort_team; positive_circulation_response; trust_safety";"trust_negotiation; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q4_Athlete;"positive_circulation_response; equipment_preference";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q5_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q6_Athlete;app_preference;exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q7_Athlete;"app_preference; face_to_face_preference";exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q8_Athlete;"social_comfort_team; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q9_Athlete;"cost_access_barrier; fairness_reciprocity";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q11_Athlete;negative_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q12_Athlete;"cost_access_barrier; social_comfort_broad; positive_acceptance; trust_safety";"equity_and_retention; trust_negotiation; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q13_Athlete;"practical_system; community_support";"circular_exchange_engagement; equity_and_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q2_Athlete;"motivation_reward; app_preference";"incentive_governance; exchange_modality_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q3_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q4_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q5_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q6_Athlete;app_preference;exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q7_Athlete;"fairness_reciprocity; social_comfort_broad; trust_safety";"equity_and_retention; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q8_Athlete;"community_support; positive_acceptance; social_comfort_broad; trust_safety";"equity_and_retention; circular_exchange_engagement; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q9_Athlete;"fairness_reciprocity; community_support";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q11_Athlete;negative_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q12_Athlete;"practical_system; positive_acceptance";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q13_Athlete;"practical_system; positive_acceptance";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q1_Athlete;app_preference;exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q2_Athlete;motivation_reward;incentive_governance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q3_Athlete;"social_comfort_team; positive_circulation_response; trust_safety";"trust_negotiation; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q4_Athlete;"hygiene_quality_concern; equipment_preference";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q5_Athlete;"hygiene_quality_concern; equipment_preference";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q6_Athlete;"app_preference; face_to_face_preference";exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q7_Athlete;negative_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q8_Athlete;"social_comfort_team; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q9_Athlete;skeptical_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q10_Athlete;"positive_circulation_response; hygiene_quality_concern";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q11_Athlete;"cost_access_barrier; no_inclusion_retention";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q12_Athlete;community_support;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q13_Athlete;practical_system;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q2_Athlete;motivation_reward;incentive_governance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q3_Athlete;"social_comfort_broad; positive_circulation_response; community_support; trust_safety";"trust_negotiation; circular_exchange_engagement; equity_and_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q4_Athlete;"positive_circulation_response; equipment_preference";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q5_Athlete;"hygiene_quality_concern; positive_circulation_response; equipment_preference";circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q6_Athlete;"trust_safety; app_preference";"trust_negotiation; exchange_modality_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q7_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q8_Athlete;"app_preference; trust_safety";"exchange_modality_preference; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q9_Athlete;"fairness_reciprocity; social_comfort_team; community_support; trust_safety";"equity_and_retention; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q11_Athlete;negative_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q12_Athlete;"cost_access_barrier; positive_acceptance";"equity_and_retention; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q13_Athlete;"practical_system; scam_risk; trust_safety";"circular_exchange_engagement; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q2_Athlete;"motivation_reward; positive_acceptance";"incentive_governance; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q3_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q4_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q5_Athlete;hygiene_quality_concern;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q6_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q7_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q8_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q9_Athlete;"fairness_reciprocity; positive_circulation_response";"equity_and_retention; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q11_Athlete;negative_response;evaluative_stance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q12_Athlete;"inclusion_retention; community_support; positive_acceptance";"equity_and_retention; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q13_Athlete;"practical_system; trust_safety; scam_risk";"circular_exchange_engagement; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q2_Athlete;motivation_reward;incentive_governance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q3_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q4_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q5_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q6_Athlete;app_preference;exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q7_Athlete;"fairness_reciprocity; social_comfort_broad; trust_safety";"equity_and_retention; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q8_Athlete;trust_safety;trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q9_Athlete;"motivation_reward; fairness_reciprocity";"incentive_governance; equity_and_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q11_Athlete;no_inclusion_retention;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q12_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q13_Athlete;practical_system;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q1_Athlete;"app_preference; positive_acceptance";"exchange_modality_preference; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q2_Athlete;"motivation_reward; positive_acceptance";"incentive_governance; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q3_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q4_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q5_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q6_Athlete;"app_preference; face_to_face_preference";exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q7_Athlete;"trust_safety; face_to_face_preference";"trust_negotiation; exchange_modality_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q8_Athlete;trust_safety;trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q9_Athlete;practical_system;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q11_Athlete;no_inclusion_retention;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q12_Athlete;"cost_access_barrier; inclusion_retention";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A02;T2;Uppsala Basketball Lions;Basketball;Q13_Athlete;practical_system;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q2_Athlete;motivation_reward;incentive_governance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q3_Athlete;"social_comfort_team; positive_circulation_response; trust_safety";"trust_negotiation; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q4_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q5_Athlete;equipment_preference;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q6_Athlete;"app_preference; face_to_face_preference";exchange_modality_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q7_Athlete;"fairness_reciprocity; social_comfort_broad; trust_safety";"equity_and_retention; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q8_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q9_Athlete;fairness_reciprocity;equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q11_Athlete;"cost_access_barrier; no_inclusion_retention";equity_and_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q12_Athlete;positive_acceptance;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A03;T2;Uppsala Basketball Lions;Basketball;Q13_Athlete;"practical_system; scam_risk; trust_safety";"circular_exchange_engagement; trust_negotiation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
