participant_id;session_id;team_name;sport;question_key;response_text;code_1;;;Table 1: Code_1 Occurrences;;;Table 2: Code_1 Occurrences by Question Key;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q1_Athlete;I think it would be good. Yeah, great.;positive_acceptance;;;Code (20);Count;;Code;Q1_Athlete;Q2_Athlete;Q3_Athlete;Q4_Athlete;Q5_Athlete;Q6_Athlete;Q7_Athlete;Q8_Athlete;Q9_Athlete;Q10_Athlete;Q11_Athlete;Q12_Athlete;Q13_Athlete;Athlete Total;Q1_Coach;Q2_Coach;Q3_Coach;Q4_Coach;Q5_Coach;Q6_Coach;Q7_Coach;Q8_Coach;Q9_Coach;Q10_Coach;Q11_Coach;Q12_Coach;Q13_Coach;Q14_Coach;Q15_Coach;Q16_Coach;Coach Total;Grand Total
T1_A01;T1;Uppsala Sirius U15;Football;Q12_Athlete;Yeah, it depends, but I think some don't have the opportunities or the money economically to buy new gear, and it's great that they could get through the app just answering questions, and I think that's a very smart idea;"cost_access_barrier; app_preference; practical_system";;;inclusion_retention;24;;inclusion_retention;0;0;0;0;0;0;0;0;0;0;0;14;0;14;3;2;0;0;0;0;1;0;0;0;0;0;0;0;4;0;10;24
T1_A01;T1;Uppsala Sirius U15;Football;Q13_Athlete;Yeah, I think it could be a cool idea if it's like used football shoes that the company, Welloop (digital Platform), is in and also has in the shop. It could be like chin pads and stuff like that, not too used, but just stuff overall. It could be anything, whether it's not from teammates or stuff like that.;practical_system;;;fairness_reciprocity;42;;fairness_reciprocity;0;0;0;0;0;0;13;0;27;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;42
T1_A02;T1;Uppsala Sirius U15;Football;Q1_Athlete;It is really good because then the trainers can see my perspective on the training, and I'll earn tokens.;"motivation_reward; positive_acceptance";;;social_comfort_team;41;;social_comfort_team;0;0;18;0;0;0;0;6;1;0;1;0;0;26;0;0;7;0;3;1;0;0;0;0;3;0;0;0;1;0;15;41
T1_A02;T1;Uppsala Sirius U15;Football;Q2_Athlete;Yes, it motivates me to keep replying to the questions. And it feels like when I answer questions, I get good rewards;motivation_reward;;;face_to_face_preference;33;;face_to_face_preference;0;0;0;0;0;28;2;1;0;0;1;1;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
T1_A02;T1;Uppsala Sirius U15;Football;Q3_Athlete;I think I would be comfortable, and I think many players would also be comfortable because every player has the money to buy new things.;"cost_access_barrier; positive_acceptance";;;negative_response;29;;negative_response;0;0;0;0;0;0;3;0;0;2;13;0;1;19;0;0;0;0;2;1;0;0;0;2;0;3;0;0;0;2;10;29
T1_A02;T1;Uppsala Sirius U15;Football;Q4_Athlete;I think also football boots, chin guards and clothes.;equipment_preference;;;hygiene_quality_concern;25;;hygiene_quality_concern;0;0;1;2;13;0;0;0;0;1;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;25
T1_A02;T1;Uppsala Sirius U15;Football;Q5_Athlete;Like football boots are good and chin guards. Shin guards, okay.;equipment_preference;;;skeptical_response;24;;skeptical_response;0;1;1;0;0;0;0;0;2;0;4;0;1;9;0;0;0;0;0;2;0;2;2;1;0;2;0;2;3;1;15;24
T1_A02;T1;Uppsala Sirius U15;Football;Q6_Athlete;I think at practice it would be more simpler.But there are players that are embarrassed, so the app would also be good.;face_to_face_preference;;;no_inclusion_retention;18;;no_inclusion_retention;0;0;0;0;0;0;0;0;0;0;11;0;0;11;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;18
T1_A02;T1;Uppsala Sirius U15;Football;Q7_Athlete;No.It doesn't make any difference.;fairness_reciprocity;;;scam_risk;13;;scam_risk;0;0;0;0;0;0;0;0;2;0;0;0;7;9;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;4;13
T1_A02;T1;Uppsala Sirius U15;Football;Q8_Athlete;I think if I knew them, it would be more comfortable. But also through different teams, it can be good too;"social_comfort_broad; trust_safety";;;competition_pressure;10;;competition_pressure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;3;2;0;0;0;0;0;0;10;10
T1_A02;T1;Uppsala Sirius U15;Football;Q9_Athlete;then I don't care that much. I'm just glad that I could help him.;community_support;;;TOTAL;1063;;TOTAL;46;45;86;49;59;64;77;85;57;42;56;63;57;786;12;16;20;9;22;16;17;18;20;11;15;15;17;30;17;20;275;1061
T1_A02;T1;Uppsala Sirius U15;Football;Q10_Athlete;yes;positive_circulation_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q11_Athlete;Yes, I know a guy in my school.;"cost_access_barrier; no_inclusion_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q12_Athlete;Yes, I think that would be a reason for him to stay, because it got like, I could give him my things;inclusion_retention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A02;T1;Uppsala Sirius U15;Football;Q13_Athlete;"I think it would work at the start, and if the players didn't say, "" Ah, you're taking used things, and things like that, I think it would work.";practical_system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q1_Athlete;I think it's good because we earn points and we can buy clothes in the app.;"motivation_reward; positive_acceptance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q2_Athlete;Like a reward;motivation_reward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yes, I would be comfortable;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q4_Athlete;Maybe old shoes. Yes.;"positive_circulation_response; equipment_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q5_Athlete;Maybe a Shoes, ball or something like that.;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q6_Athlete;Through the app;app_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q7_Athlete;No, it doesn't make any difference.;fairness_reciprocity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q8_Athlete;No, I don't think it's going to be different. comfortable with anyone;"social_comfort_broad; positive_acceptance; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q9_Athlete;Maybe a little bit annoying. Not contributing anything to society.;fairness_reciprocity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q10_Athlete;Yes, I have bought;positive_circulation_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q11_Athlete;Yes. Maybe two or three;"cost_access_barrier; no_inclusion_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q12_Athlete;Yes.;"cost_access_barrier; inclusion_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A03;T1;Uppsala Sirius U15;Football;Q13_Athlete;No, I don't have any;negative_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q1_Athlete;Good. It's good.;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q2_Athlete;Because then if you do that, you can have a motive to answer the questions. Nice, but I feel good that I get some questions that people ask about how my day has been or how the training was.;motivation_reward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yes.If there's no fault;"social_comfort_team; positive_circulation_response; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q4_Athlete;Like old shoes, maybe that are so too little, or maybe chin pads that you don't use anymore because they're too small or too big.;"positive_circulation_response; equipment_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q5_Athlete;like you have chin pads and maybe like grip socks. Okay.;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q6_Athlete;Through the app.;app_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q7_Athlete;Yeah, it would feel different? Because, like through the app, I think like you have some time to think, and like in person, you maybe don't know what to say;"app_preference; face_to_face_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q8_Athlete;With the person I know, because if you don't know them, the other people, you may think they have disgusting habits, and you don't want to use that after someone.;"social_comfort_team; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q9_Athlete;Like it depends because maybe the person doesn't have the money to like give something. But if they got the money and like, you know, have the opportunity and they don't do it, I would like to get a little bit upset. But because like, why would I give something and no one gives back?;"cost_access_barrier; fairness_reciprocity";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q10_Athlete;Yeah, my chin pads, my old shin pads. Okay.;positive_circulation_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q11_Athlete;No, I don't know.;negative_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q12_Athlete;Yeah, of course, because like not everyone gets the opportunity to play the sport because it costs a bit of money. But other than that, yeah.;"cost_access_barrier; social_comfort_broad; positive_acceptance; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A04;T1;Uppsala Sirius U15;Football;Q13_Athlete;Yeah, I think it would work because, like, I think the people who don't use the things, I think they would be happy to give it to someone who could not play the sport because of that gear. So yeah, I think that.;"practical_system; community_support";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q1_Athlete;It would be good.;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q2_Athlete;It's more motivating. Like that way the player will use the app more.;"motivation_reward; app_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yeah, I would be comfortable;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q4_Athlete;chin pads. Yeah;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q5_Athlete;Yes, Chin pads.;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q6_Athlete;I would say through the app.;app_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q7_Athlete;No. I mean, I wouldn't feel different.;"fairness_reciprocity; social_comfort_broad; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q8_Athlete;I would be comfortable.If it helps them. Any of them is fine.;"community_support; positive_acceptance; social_comfort_broad; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q9_Athlete;I mean... Okay. No issue.;"fairness_reciprocity; community_support";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q10_Athlete;Some shoes, Sports shoes.;positive_circulation_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q11_Athlete;No.;negative_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q12_Athlete;Yeah. It would help them;"practical_system; positive_acceptance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A05;T1;Uppsala Sirius U15;Football;Q13_Athlete;Yes, it will make people show up more.;"practical_system; positive_acceptance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q1_Athlete;Yeah, I feel good because Welloop asked me how I feel, and that makes me happy after the training. Someone asked me how I feel after the training.;app_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q2_Athlete;Yeah, it feels like they tell me never to give up.;motivation_reward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yes,;"social_comfort_team; positive_circulation_response; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q4_Athlete;anything if it's in a good condition;"hygiene_quality_concern; equipment_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q5_Athlete;like maybe a bag.;"hygiene_quality_concern; equipment_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q6_Athlete;Training, maybe. Training, practice session. Yeah, practice;"app_preference; face_to_face_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q7_Athlete;No;negative_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q8_Athlete;I think the people I know.;"social_comfort_team; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q9_Athlete;I don't know, actually. Like, I don't have something to feel about like that.;skeptical_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q10_Athlete;Yeah, I sold. Yeah, I sold. Okay.But when it was of good quality;"positive_circulation_response; hygiene_quality_concern";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q11_Athlete;My home country, but not right here.;"cost_access_barrier; no_inclusion_retention";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q12_Athlete;Yeah, like, yeah, I think so. Yeah, it will help them to play sports more. If they are good. Yeah, obviously.;community_support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A06;T1;Uppsala Sirius U15;Football;Q13_Athlete;Yeah.To like, to not throw the old boots. Like, maybe give them to someone else to help them. If it's good quality and you won't throw it, like, something like that.;practical_system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q1_Athlete;I would feel better, and it's easier to explain myself and tell my trainers how I feel. I feel like you're more energized and more hype because then I can tell my trainer before the training how I'm feeling and after how I'm feeling, like before the training? I might not feel as good but after the training, I might feel even better,;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q2_Athlete;it makes me feel more motivated, it makes us feel rewarded somehow and more What's called more productive, okay;motivation_reward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yes, that would be actually a good way from recycling and reusing, since our Environment is now based mostly on buying more and throwing away what's good and usable, and that is good for us, since not everyone on the team may have a good economy, and since our teammates, we can give each other stuff;"social_comfort_broad; positive_circulation_response; community_support; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q4_Athlete;my shoes like my old shoes that I don't fit in anymore and my Old jersey since it's always nice to give away;"positive_circulation_response; equipment_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q5_Athlete;like shoes, jerseys, or something like that, since chin guards are not so Sanitary or more hygienic to reuse since you sweat into them, but shoes and other equipment should work nicely.;"hygiene_quality_concern; positive_circulation_response; equipment_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q6_Athlete;Through app since it's maybe the person doesn't feel comfortable seeing other people Knowing that I bought I read already used So I think it's better to give it through the apps and it's more private that way and that person doesn't feel exposed;"trust_safety; app_preference";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q7_Athlete;No, I don't think it would make me feel any different since a gear is a gear it's always be used.;"social_comfort_broad; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q8_Athlete;I think it's at the beginning. It's more comfortable to exchange in the team but further on you can do it through the app since it gets better and better;"app_preference; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q9_Athlete;I would think it's kind of unfair since you give, and the other person doesn't give anything back to the community, and it makes it Kind of unfair to the others if you use your product, like your old stuff, and you just throw them away instead of giving them away to your friends and other teammates;"fairness_reciprocity; social_comfort_team; community_support; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q10_Athlete;I've sold a lot of my old stuff, and I still do;positive_circulation_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q11_Athlete;No, actually not;negative_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q12_Athlete;I mean, if it gets internationally, it would be amazing since kids in other countries might not be able to afford it. By this, they can afford it. It's complete freedom. Then it makes me feel better to know someone else can play football;"cost_access_barrier; positive_acceptance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A07;T1;Uppsala Sirius U15;Football;Q13_Athlete;Yes, it has worked with other Apps where you give out second hand and sell them for money. So I'm very sure this would work, too. Like, maybe getting scammed in the future could go wrong.;"practical_system; scam_risk; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q1_Athlete;Good.;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q2_Athlete;It feels like a reward if I come to training, then I get something out of it. Yeah, of course it motivates me;"motivation_reward; positive_acceptance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yeah, of course.;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q4_Athlete;Everything, shoes, clothes, if they need.;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q5_Athlete;Everything. Everything is of good quality.;hygiene_quality_concern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q6_Athlete;Yeah, everything. It doesn't matter, it doesn't matter. Anywhere is fine.;"social_comfort_broad; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q7_Athlete;No, I mean, for me, it doesn't matter. If they really need the item, it's okay, they can take it.;"social_comfort_broad; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q8_Athlete;or it doesn't matter, you know, everybody. For me, it's everybody.;"social_comfort_broad; trust_safety";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q9_Athlete;I mean, it wouldn't be that great, they're not contributing to the rest of the people, they just want to have stuff, not give away.;"fairness_reciprocity; positive_circulation_response";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q10_Athlete;I bought a shirt, pants, and Sports equipment;positive_circulation_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q11_Athlete;I don't think so, no;negative_response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q12_Athlete;Of course, if we can help them, they can stay and play.;"inclusion_retention; community_support; positive_acceptance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A08;T1;Uppsala Sirius U15;Football;Q13_Athlete;Yeah, it could work. Communication is important, and I don't think it can be misused, maybe. I don't know. If they get the item and they get it, and they can play, then I think nothing can go wrong.;"practical_system; trust_safety; scam_risk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q1_Athlete;It sounds amazing,;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q2_Athlete;Yeah, it feels like a great reward,;motivation_reward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q3_Athlete;Sounds very good, yeah, of course;positive_acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q4_Athlete;Shoes;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T2_A01;T2;Uppsala Basketball Lions;Basketball;Q5_Athlete;Shoes;equipment_preference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
